text,label
इस लए समझदार होक बेशर्मो की तरह बात करना बंद कीजिये,0
अमरजीत ने पहले भी वोट दिया है पर अब उन्हें लगता है कि ये बेकार की बातें हैं,0
तीनों पालियों में कुल में से दो परीक्षार्थी अनुपस्थित रहे,0
आस्ट्रेलियाई टीम जहां खिताबी हैट्रिक के लिए प्रयास करेगी वहीं इंग्लिश टीम दोबारा इस खिताब पर कब्जा जमाना चाहेगी,1
टीम के दिग्गज कोच गैरी क‌र्स्टन को अब कुछ नया ही करना होगा,1
स्थिति यह है कि एलईडी लाइट्स की आपूर्ति के लिए महीने भर पहले से बुकिंग करानी पड़ती है,1
सुगम समाधान के लिए पर्याप्त मात्रा में कम्प्यूटर नहीं है,0
कहानी और पटकथा के स्तर की दिक्कतें फिल्म की गति और निष्‍पत्ति रोकती हैं,0
कंगना ने ज़बरदस्त परफॉर्मेंस किया है इस बात के लिए उनकी तारीफ़ करनी होगी,1
नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं,1
विशेषज्ञों का मानना है कि रुपए में मजबूती की मुख्य वज़ह डॉलर की कीमतों का सात महीने के निचले स्तरों पर आना है,1
इस तस्वीर में भी दोनों बेहद दिलकश लग रहे थे,1
अभिनेता के फॉलोअर्स की संख्या बढ़ती ही जा रही है,1
अच्छा कहा सत्यम शिवम् सुंदरम को वापिस न्यूज़ के लोगो पर देखना एक सुखद अनुभव है,1
आपको बता दें कि आयुष दिल्ली का रहने वाला है और फिल्मों की दुनिया में कदम रखना चाहता है,1
भुवन बनने चले थे धोनी बन के आ गए कचरा भी मुँह पे थूकने से मना कर दिया,0
₹ महंगाई के नाम पर भारत बंद कर के देश का नुकसान करने वाले अब कहा मर गए,0
उन्‍होंने एक छोर संभालते हुए तेजतर्रार पारी खेली और दिल्‍ली की जीत पर मुहर लगा दी,1
आशु त्रिखा को अपनी प्रतिभा का उपयोग कुछ बेहतर विषयों के चित्रण करना चाहिए,0
कुशाल का मेडिकल इश्यू के कारण कुशाल को ये शो छोड़ना पड़ा,0
उन्होंने पटकथा इंच मात्र भी बोझिल नहीं होने दी है,1
मराठी मानुष के चरित्र को उन्होंने बखूबी निभाया है,1
पहले तुम्हारे शब्दों में साहस आशा और निष्ठा के भाव थे अब चिन्ता भय और क्लेश जाग गया है यानि तु गया,0
नीरज जी को साक्षात् सुनने का अलग आनंद है,1
रन रोकने में जरूर सुपर किंग्स के गेंदबाज उतने सफल नहीं हो सके हैं,0
गुणवत्ता पर कोई नियंत्रण और जवाबदेही नहीं,0
पाकिस्तान को मदद देने को तैयार प्रधानमंत्री,1
ओडिशा के दो युवकों के हाथ इसलिए काट दिए गए क्योंकि उन्होंने ईंट भट्टे पर काम करने से इनकार कर दिया था,0
ऐसा होने पर जिले की जिम्मेदारी संभाल रहे पुलिस अफसरों की खैर नहीं,0
अधिकांश हैंडपंप खराब दशा में हैं या तो दूषित जल देते हैं,0
सुगंधपूर्ण आमलकी चूर्ण शरीर की सुंदरता बढ़ाने का परम साधन है,1
कलयुग में वक्ता ज्यादा है श्रोता कम यही इस युग का श्राप है,0
जलकल संयत्र से अब तक शुद्ध पेयजल नसीब नहीं हुआ है,0
उसने विकट परिस्थितियों में भी मेरा साथ दिया,1
ज़रूर पढ़ें मंत्री जैन से बातचीत,1
अतिरिक्त मूल्यांकन केंद्रों के सूक्ष्म निरीक्षण करने है,0
खास है प्रियंका गांधी का चुनावी रथ देखें अंदर की,1
कम बारिश से पूर्वोत्तर में खेती पर असर बढ़ेगी महंगाई,0
पुलिस द्वारा सताए व्यक्ति अपनी शिकायत किससे करे,0
बायोपिक फिल्में बनाने के लिए जिस सोच और सौंदर्यदृष्टि की जरूरत होती है उसकी कमी ‘सरबजीत’ में खलती है,0
में के दर्शक और पाठक हैं हमारे सूफी नज़राने कविता के खज़ाने लोकगीत और तराने बहुत…,1
इसी का तो खौफ है पहले इन्होंने और मे लोगों को शियासुन्नीकुर्दअलावाईअरबीफार्सी और कबीलाओं में बाँटा,0
सुरेन्द्र कोली तो एक मोहरा है असली हत्यारा तो पंढेर है मीडिया बिक चुकी है जो इस बारे में नहीं लिख रही,0
स्वास्थ्य विभाग की टीम के लौट जाने के बाद ये मरीजों की जान के साथ खिलवाड़ करने लग जाते हैं,0
और भी दुख हैं ज़माने में मोहब्बत के सिवा,0
अपनी मेहनत के बल पर उसने कम समय में अत्यधिक उन्नति की है,1
थ्रिलर और कॉमेडी को संतुलित करते हुए बीच की राह पकड़ी गई हैं,1
दमा से पीड़ित लोगों को इसे बढ़ाने वाले कारकों से बचना चाहिए और उन्हें खुद को इसके इलाज के बारे में शिक्षित करना चाहिए,1
ये लड़का अपना नाम रिशु बता रहा हैबहुत घबराया हुआ है मेरठ बस स्टैंड के पास मि…,1
विजय राज और मनु ऋषि के अलावा राज जुत्शी और विश्वजीत प्रधान ने भी अच्छा अभिनय किया है,1
राजनीतिक रैलियों में गधे को मिलती लोकप्रियता के बीच अखिल भारतीय गधा समाज ने खुद अपनी पार्टी बनाने का ऐलान किया है …,1
इस तरह सिंधु ने अपने लिए ब्रॉन्ज मेडल पक्का कर लिया,1
उन्होंने अनथक और निस्वार्थ भाव से काम किया और अक्सर अपनी सेहत की भी परवाह नहीं की,1
सार्वजनिक स्थानों पर निस्वार्थ भाव से लोगों को पानी पिलाते स्वयंसेवी मिल जाते है,1
उनके धर्म निरपेक्ष स्वभाव के बारे में मैं शपथ ले सकता हूं,1
प्रोफेशनल्स और व्यापारियों को जोड़ने का प्लान राहुल,1
में के दर्शक और पाठक हैं हमारे सूफी नज़राने कविता के खज़ाने लोकगीत और तराने बहुत सारे अ…,1
दूसरी बार कमिटी ने जब फिल्म देखनी शुरू की तो सेंसर कमिटी एकमत से फिल्म को क्लियर करने के मूड में नहीं थी,0
उन्होंने फिजूलखर्ची पर बच्चों को सन्देश देने की खातिर एक अरब छब्बीस करोड़ फिजूल में खर्च कर दिए यही नहीं बिजली,0
यह स्मार्टफोन वाकई स्मार्ट है और यूज़र एक्स्पीरियंस को आनंददायक बना देता है,1
कुम्हार इस अनगढ़ मिट्टी को गढ़कर किसी वस्तु का आकार दे देगा,1
जागरण संवाददाता बरेली उपभोक्ताओं को साल में बारह सिलिंडर मिलना नामुमकिन बात है,0
इस नाजुक स्थिति से चेतेश्वर पुजारा और ग्लैन मैक्सवेल ने पंजाब को उबारा,1
गुजरात में बीजेपी को हराने के लिए कांग्रेस का शांति प्लान,1
कुल मिलाकर पूरा एपिसोड मौज और मस्ती से भरपूर रहा,1
यह पश्चगामी कदम होगा जो कंपाला के साथ रिश्तों को जटिल बनाएगा,1
माओवादियों की संपत्ति होगी कुर्क,0
विवाह में कुव्यवस्था देख बाराती भड़क उठे,0
यूपी में महागठबंधन में काँग्रेस को साथ लाने की एक और कोशिश हुई नाकाम यूपी में महागठबंधन ने कांग्रे…,1
देश में फुटबॉल का ढांचा बहुत उन्नत नहीं है,0
यहां सालाना करोड़ों श्रद्धालु मां के चरणों में हाजिरी लगाने के साथ ही राज्य की अर्थ व्यवस्था को मजबूत करने में अपना सहयोग निरंतर दे रहे हैं,1
वर्षो से सिर्फ एक पहाड़ी को काट कर अंधाधुंध व अवैज्ञानिक ढंग से चिंतपूर्णी में बन रहे,0
महंगाई की मार से बचाने वाली बेहतरीन से बेहतरीन स्कीम भी व्यर्थ साबित हो सकती है,0
आज तक को मिला ‘बेस्ट न्यूज़ चैनल ऑफ द ईयर’ का अन्तर्राष्ट्रीय सम्मान लंदन में …,1
मध्य प्रदेश की रह गई है किसानो ने आत्महत्या की है श्री की मध्य…,1
कुछ कमजोरियां कंपनी ने कीमत को कम रखने के चलते इसमें कुछ समझौते भी किए हैं जैसे कि इसमें डिस्क ब्रैक ऑप्शन नहीं लगा है,0
यूपी में हावी कल्चर अन्य वीडियो,1
भरम है तो भरम ही रहने दोजानता हूं मोहब्बत नहीं है … पर जो भी है … कुछ देर तो रहने दो …,0
इंडिया नौ बजे भीषण बाढ़ की चपेट में जम्मू−कश्मीर,0
इंस्पेक्टर सुबोध की हत्या से पहले वीडियो देखिए सईद अंसारी के साथ …,1
टिफिन खोलते और व्यंजनों की सूंघतेछूते समय इरफान के चेहरे पर संचरित भाव अंतस की खुशी जाहिर करता है,1
रणवीर दिखावटी स्वभाव के हैं और मोहब्बत का दिखावा उन्हें बहुत पसंद है,1
भारतीय पहलवानों ने अब तक चैम्पियनशिप में छह पदक जीत लिये हैं,1
जलवा खतम हो रहा है ये सिर्फ मरे हुवों की मदद करते हैं मर कर एक लाख पाओ ख़ुदकुशी आत्महत्या को भी कानूनी,0
आश्चर्य कारक घटनाएंअद्भुत चमत्कारमंत्रशक्ति का प्रभाव,1
इसलिए स्मॉल कैप स्टॉक्स में ज्यादा सेलिंग करना संभव नहीं होता,0
हालांकि प्रयोगात्मक विज्ञान और फिक्शन के बीच बहुत ही महीन रेखा का अंतर है,1
