text,label
هذي النكهة بتكون ادماني الجديد، وزيادة كيلو لوزني، عزايي ان قاعدة اشرب معه بيبسي دايت,0
روحي يا شيخه اللهي الزمالك ياخد مركزه المفضل,1
تعجبني ياسامي بردك الملجم علي السفهاء المستلجه ارفع لك عقالي يالقرشي,1
هذا اللي ماتقدر تقوله لا وليش الكاميرا الخفيه لايام زمان,1
الاكل هو الصديق الحقيقي في الحزن والفرح والدليل العزاء فيه اكل والزواج فيه اكل,1
مورينهو بيدربكم الموسم الجاي,0
استفتح يومك وعطر سمعك بهذه التلاوة الراايعة للشيخ المقريين الشيخ رحمه الله,1
ناس بتصعد لقمة المجد وناس لقمة السيبة,0
اخبروه ان لڪل روح توامها ؛؛ وانا لم اجد فيڪك توامي فقط؛؛ بل وجدت فيڪك رووحي,0
واحد من العيال توه جاء من جده المهم دخلنا للبقاله اخذنا اغراض خلصنا ودفعت زعل يقول من قالك اني فقير عشان تدفع لي,1
بالنسبه لي كان طعمه مالح,1
اختي دايم تقولي اياها وانا باقي ماوصلت هالحلقة بس ماشفتها عندك عشان ماخرب علي نفسي,0
الي جاي كله جراح,0
وطال الليل في رجوي الوصال وخافقي مرتاب وانا بين الامل والياس اقول للهفتي هانت ويوم الياس غطاني وظ,0
والله من ثقالة الدم,1
الله يوفقهم ويجزاهم خير,0
وكالعادة نقوول صباح الخير,1
وش سويت لك يا دكتور يوم انك تنقصني ولا تنقصهم,0
قولوا ماشاء الله لان ذي احلا اسبوعين مرت علي بحياتي,0
لا تحزن اذا اجبرتك الظروف علي التعايش مع وضع قد يولمك وعسي ان تكرهوا شييا وهو خير لكم,0
تخسي يالهامل الفريق ضاحي خلفان عربي اصيل اشرف منك ومن دولتك المحتلة,0
احلي كس ده ولا ايه,1
هذا ما حدث بالامس عند عودة للعب بالوان روما مجددا في مباراة الاساطير,1
الحياة من غيرك ملهاش طعم يا غالية,0
بعد المايك معاكم اقول قم صل لا ابلغ عليك,1
ليه بتكرهها ، بالعكس كتير قد حالها و محنكة و ماخدة من شخصية ابوها بتخيل جيمي حيقتلها دانيريس,0
احلي خبر شوفته النهارده,1
ما ابيي انامم خير,0
محد يضحكني غير تغريداتهم,0
عشرين عام انقضت وانت اللي ناسينا شيبنا شوف الشعر و الحين تقولين اني مو الليل,0
ماشاء الله قلبه وسيع ذا او ما هو مفكر في احد في الجلسة,1
الاحد ابريل لم استطع اخراجك من راسي ، لانك دايما بقلبي,1
اخبروا الاشياء المتاخرة ان قدومها لم يعد مرحبا به فقد فات اوان اللهفة وان مجييها الان بعد انطفاء الشغف لن ي,1
اذا فقدت شييا تحبه فتذكر ان الاشجار تفقد كل اوراقها في في الخريف لتكسب الاجمل في الربيع فالحياة مراحل ولكل,1
ولا يهمك متعود ع كدة,0
بلكني الثوري الحر ياليل الطعمية اذا صدق انه في بلد ديموقراطي وموثر سبق وزرته ايام مبارك الي ذيك الايام كانت افضل,1
جميلة انت ك عنقود عنب احمر و ما فيه و لا حبة مضروبة,0
المشاركات مفتوحه والتوزيع مفتوح,1
دي كلها ف ندا,1
تو مال مدارس و عطوهم اجازة واحنا اولاد بطه السودة ماحد يخاف علينا,0
اللهم ارحم من حنت عيني ل روية مبسمه,0
ابد عادي كملي مردغيه لين تطلعين اللي في كبدك هه بعدين فليها معه,1
قبلا كان الحال افضل,0
غدا الجمعة سوف يتم السحب باذن الله فالكم التوفيق جميعا,1
بموت خوف لان بابا مابعد وجع للحين ومو قادر يجي,0
