text,label
根本 不好 笑 個人 覺得 沒有 想象 中的 那麼 好,0
穿越 歷史 紅 牆 的 迷霧 聆聽 詩 藝 偉人 脈搏 的 律動 感受 世紀 真摯 純情 的 溫度 享受 好書 美文 的 快樂,1
房間 押金 是 一天 一天 交 的 要注意 的是 結帳 時 服務 員 會問 你要 不要 發票 要 發票 會 自動 在 原來 價格 上 加 2 元 錢 一天 事先 並不 加以 任何 說明,0
員工 都很 有 禮貌 態度 很好,1
還 不錯,1
3 電梯 懷疑 是 貨 梯 綠色 滴 聲音 大 挺 嚇人,0
5 千 元 的 配置 3 千 元 的 價格 工薪 愛美 族 舍 它 其 誰,1
不過 賓館 餐廳 的 菜 好象 比 外面 的 土 菜館 烹飪 得 好 一些 但是 價格 不作 評論,0
早餐 很 豐盛 價格 稍微 高 了 點 一樓 的 川菜 也是 不錯 的,1
穩定性 非常 好 使用 起來 噪音 很小 運行 穩定 很少 出 毛病 而且 還有 上 門 服務,1
書 是 好書 但 就是 封面 不太 溫文 爾雅 讓人 覺得很 驚 悚 恐怕 晚上 放在 枕邊 會 夢魘 而且 最糟糕 的是 季 老 寫的 序 純 是在 瞎掰 湊 字數 沒 話 找 話說 哎 名人 就是 有 胡說 胡 些 的 資本 高中 時 看過 蒙 田 的 精選 篇 那時 太 小 完全 不懂 現在 卻 當 寶貝 一樣 愛 不 釋卷 時間 真是 奇妙 的 武器 人 長大 有了 些許 閱歷 後 開始 不斷地 追求 內心 的 自由 開始 尋找 本心 開始 懂得 生活 的 智慧 因此 也 開始 把 蒙 田 隨筆 當 寶貝 了,1
令人 潸然 淚 下 的 好書 太 值得 擁有 了 噹噹 不錯 能 及時 改正 不足 繼續 支持,1
以前 女兒 就 與 鄰居 家 的 小 姐姐 玩過 老 狼 老 狼 幾點鐘 的 遊戲 這次 見 了 故事 書 喜歡 得 不得 了 在 幼兒園 回家 的 路上 邊走邊看 回家 顧不得 吃飯 捧 卷 細 讀 即使 下樓 散步 也 捨不得 丟下 她的 寶貝 書 一 晚上 就 攻克 了 拼音 關 自己 讀完 了一 本書 我認為 這 書 特別 適合 大班 的 幼兒 閱讀 故事 生動 有趣 圖 美 字 大 且 帶 拼音 孩子 可以 獨立 拼 讀 而且 書 頁 不多 嚇 不 著 孩子 不知不覺 間 輕鬆 掌握 了 拼 讀 和 故事,1
總體 來說 還是 可以 的 我 住 過 很多 次 最主要 吸引 人的 地方 是 每天 可以 打 3 個 小時 的 長途 或者 市內 電話 電視機 破 了 點 希望 可以 更換,1
我 入 住 的 時候 上面 兩項 一個 都沒 看到,1
書寫 得 很好 就是 中間 有 很多 頁碼 混亂 看得 時候 顛來倒去 麻煩 想 調換 又 怕 連 這本 也沒 了 但 願 噹噹 網 的 當 不是 上當 的 當,0
